layer,f1,accuracy
0,0.6861924686192469,0.7
1,0.7589098532494759,0.77
2,0.8586387434554974,0.865
3,0.9378185524974516,0.939
4,0.9695740365111561,0.97
5,0.9787234042553191,0.979
6,0.9838383838383838,0.984
7,0.9868554095045501,0.987
8,0.9929789368104313,0.993
9,0.9949849548645938,0.995
10,0.996996996996997,0.997
11,0.9959839357429718,0.996
12,0.9969909729187563,0.997
13,0.9959839357429718,0.996
14,0.9959919839679359,0.996
15,0.9949849548645938,0.995
16,0.9939759036144579,0.994
17,0.9949849548645938,0.995
18,0.9929789368104313,0.993
19,0.9919678714859438,0.992
20,0.9929789368104313,0.993
21,0.992964824120603,0.993
22,0.9909547738693467,0.991
23,0.9919678714859438,0.992
24,0.9899396378269618,0.99
25,0.9909547738693467,0.991
26,0.9919678714859438,0.992
27,0.9899799599198397,0.99
28,0.9879275653923542,0.988
29,0.9889669007021064,0.989
30,0.986986986986987,0.987
31,0.981018981018981,0.981
